"Prenoèitvene zmogljivosti po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, LETO , MERITVE"

" ";" ";" ";"Število objektov";"Število sob";"Zmogljivosti - ležišèa - SKUPAJ";"Zmogljivosti - ležišèa - stalna"
"SLOVENIJA"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;40698;110248;101708
" ";" ";"2009";...;41300;111985;103255
" ";" ";"2010";...;42414;117947;108836
" ";" ";"2011";...;42720;118817;109684
" ";" ";"2012";...;43100;121541;111907
" ";" ";"2013";...;42998;122177;112105
" ";" ";"2014";...;43218;123235;113131
" ";" ";"2015";...;44123;126809;116453
" ";" ";"2016";...;45166;130355;119536
" ";" ";"2017";...;46271;134808;123225
" ";"Hoteli"
" ";" ";"2008";267;17919;38425;34714
" ";" ";"2009";269;18212;38778;35030
" ";" ";"2010";280;18348;39871;36098
" ";" ";"2011";288;18727;40834;36958
" ";" ";"2012";290;18719;41013;36905
" ";" ";"2013";289;18801;41163;36986
" ";" ";"2014";297;18719;41208;36944
" ";" ";"2015";308;18865;41685;37389
" ";" ";"2016";324;19090;42682;38061
" ";" ";"2017";327;19519;43725;38804
" ";"Moteli"
" ";" ";"2008";12;237;508;486
" ";" ";"2009";11;213;460;434
" ";" ";"2010";11;185;400;392
" ";" ";"2011";10;149;328;320
" ";" ";"2012";8;107;231;223
" ";" ";"2013";8;102;224;214
" ";" ";"2014";7;91;208;196
" ";" ";"2015";7;92;205;195
" ";" ";"2016";9;109;290;274
" ";" ";"2017";9;113;308;294
" ";"Penzioni"
" ";" ";"2008";105;1307;3544;3238
" ";" ";"2009";106;1301;3499;3178
" ";" ";"2010";101;1182;3191;2816
" ";" ";"2011";95;1114;3026;2672
" ";" ";"2012";89;1050;2775;2478
" ";" ";"2013";88;1013;2676;2348
" ";" ";"2014";84;947;2522;2214
" ";" ";"2015";88;1002;2608;2313
" ";" ";"2016";91;1019;2602;2369
" ";" ";"2017";91;1020;2623;2382
" ";"Gostišèa"
" ";" ";"2008";172;1464;3639;3450
" ";" ";"2009";172;1417;3487;3279
" ";" ";"2010";166;1399;3412;3211
" ";" ";"2011";165;1443;3508;3284
" ";" ";"2012";164;1416;3464;3230
" ";" ";"2013";160;1401;3342;3099
" ";" ";"2014";161;1311;3141;2933
" ";" ";"2015";186;1481;3593;3344
" ";" ";"2016";185;1466;3581;3302
