"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Osebna varnost";610567;302098;249112;35035;2974;N;20524
" ";" ";"Dostopnost turistiènih informacij";610567;151878;312783;90696;14481;6468;34261
" ";" ";"Enostavnost dostopnosti destinacije";610567;170835;310930;89456;9330;N;26941
" ";" ";"Cenovna ugodnost prevoza do destinacije";610567;94987;276031;112245;20029;3889;103386
" ";" ";"Organizacija lokalnega prevoza";610567;75288;179350;99454;22498;7905;226071
" ";" ";"Splošna èistoèa destinacije";610567;217357;290533;69849;9982;N;21516
" ";" ";"Neokrnjena narava";610567;218307;282267;68660;7929;N;31680
" ";" ";"Podnebne razmere";610567;159462;304793;101471;14766;3731;26344
" ";" ";"Skrb za okolje";610567;157880;303802;85349;8808;N;51997
" ";" ";"Prijaznost lokalnega prebivalstva";610567;279480;237340;59187;10453;N;23209
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";610567;98942;284842;124155;13897;N;85637
" ";" ";"Ponudba kulturnih prireditev";610567;65790;205180;153100;29338;8450;148709
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";610567;84315;209697;116915;21046;7686;170908
" ";" ";"Ponudba športnih prireditev";610567;45114;143654;131730;35834;11335;242900
" ";" ";"Zdravstvena ponudba";610567;54916;125217;93334;13578;4961;318561
" ";" ";"Dobropoèutna ponudba";610567;79091;159927;97356;16181;4945;253068
" ";" ";"Ponudba lokalne gastronomije";610567;139631;292250;102286;16802;4769;54829
" ";" ";"Možnosti za nakupovanje";610567;82569;220274;167539;27283;6836;106067
" ";" ";"Noèno življenje in zabava";610567;57664;178256;125754;26810;10940;211143
" ";" ";"Možnosti za poèitek";610567;170864;310843;65669;6908;2768;53514
" ";" ";"Primerno za družine";610567;136066;260756;75115;8793;N;128108
" ";" ";"Ponudba kazinojev in igralnic";610567;35640;72521;100581;30403;13057;358365
" ";" ";"Konferenèna ponudba";610567;23567;87639;75722;17517;10922;395199
" ";" ";"Kakovost nastanitve";610567;175352;308100;83937;10750;N;30222
" ";" ";"Cenovna ugodnost ponudbe";610567;136027;314008;104117;8450;N;44065
" ";" ";"Sloves destinacije";610567;190108;295480;73988;7467;N;41426
" ";"Zdraviliške obèine"
" ";" ";"Osebna varnost";71612;44970;14413;10578;N;N;N
" ";" ";"Dostopnost turistiènih informacij";71612;25875;29025;11548;N;N;N
" ";" ";"Enostavnost dostopnosti destinacije";71612;29899;27106;11164;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";71612;22688;23871;10066;5716;N;8734
" ";" ";"Organizacija lokalnega prevoza";71612;12658;17168;17028;2995;N;18981
" ";" ";"Splošna èistoèa destinacije";71612;37481;21530;8831;N;-;N
