"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";"Avstrija"
" ";" ";" ";"2008";61369;243617
" ";" ";" ";"2009";61572;235284
" ";" ";" ";"2010";61082;231971
" ";" ";" ";"2011";62727;229758
" ";" ";" ";"2012";65141;232243
" ";" ";" ";"2013";72067;244285
" ";" ";" ";"2014";77506;253206
" ";" ";" ";"2015";79097;254443
" ";" ";" ";"2016";83843;271605
" ";" ";" ";"2017";89541;279043
" ";" ";"Belgija"
" ";" ";" ";"2008";805;3071
" ";" ";" ";"2009";914;3422
" ";" ";" ";"2010";1205;5897
" ";" ";" ";"2011";1407;7757
" ";" ";" ";"2012";1926;11319
" ";" ";" ";"2013";2573;16845
" ";" ";" ";"2014";2215;14222
" ";" ";" ";"2015";2046;12803
" ";" ";" ";"2016";2356;15261
" ";" ";" ";"2017";2864;16672
" ";" ";"Bolgarija"
" ";" ";" ";"2008";1202;2884
" ";" ";" ";"2009";676;1381
" ";" ";" ";"2010";835;1997
" ";" ";" ";"2011";939;1929
" ";" ";" ";"2012";947;2068
" ";" ";" ";"2013";724;1865
" ";" ";" ";"2014";743;1540
" ";" ";" ";"2015";1064;2936
" ";" ";" ";"2016";908;1956
" ";" ";" ";"2017";931;2390
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";2420;7380
" ";" ";" ";"2009";2062;7134
" ";" ";" ";"2010";2018;5768
" ";" ";" ";"2011";3234;8855
" ";" ";" ";"2012";3671;10620
" ";" ";" ";"2013";3720;10756
" ";" ";" ";"2014";3963;10771
" ";" ";" ";"2015";4677;12773
" ";" ";" ";"2016";5083;13321
" ";" ";" ";"2017";6157;15249
" ";" ";"Ciper"
" ";" ";" ";"2008";96;298
" ";" ";" ";"2009";56;271
" ";" ";" ";"2010";19;82
" ";" ";" ";"2011";12;46
" ";" ";" ";"2012";29;129
" ";" ";" ";"2013";15;98
" ";" ";" ";"2014";15;50
" ";" ";" ";"2015";27;148
" ";" ";" ";"2016";27;94
" ";" ";" ";"2017";72;405
" ";" ";"Èeška republika"
" ";" ";" ";"2008";2799;7391
" ";" ";" ";"2009";2867;7209
" ";" ";" ";"2010";3301;9187
" ";" ";" ";"2011";5124;14761
" ";" ";" ";"2012";5225;14792
" ";" ";" ";"2013";4743;14559
" ";" ";" ";"2014";5192;15370
" ";" ";" ";"2015";5474;17752
" ";" ";" ";"2016";6209;18365
" ";" ";" ";"2017";7668;22744
" ";" ";"Èrna gora"
" ";" ";" ";"2008";257;1206
" ";" ";" ";"2009";215;609
" ";" ";" ";"2010";437;1727
" ";" ";" ";"2011";580;2199
" ";" ";" ";"2012";647;2729
" ";" ";" ";"2013";674;2387
" ";" ";" ";"2014";804;2794
" ";" ";" ";"2015";1140;3811
" ";" ";" ";"2016";863;3136
" ";" ";" ";"2017";1167;4405
" ";" ";"Danska"
" ";" ";" ";"2008";627;2376
" ";" ";" ";"2009";410;1656
" ";" ";" ";"2010";426;1940
" ";" ";" ";"2011";677;2701
" ";" ";" ";"2012";733;2652
" ";" ";" ";"2013";732;2601
" ";" ";" ";"2014";545;2091
" ";" ";" ";"2015";358;1550
" ";" ";" ";"2016";605;2616
" ";" ";" ";"2017";691;3018
" ";" ";"Estonija"
" ";" ";" ";"2008";57;197
" ";" ";" ";"2009";76;292
" ";" ";" ";"2010";91;331
" ";" ";" ";"2011";203;583
" ";" ";" ";"2012";79;462
" ";" ";" ";"2013";102;314
" ";" ";" ";"2014";70;304
" ";" ";" ";"2015";168;2055
" ";" ";" ";"2016";74;251
" ";" ";" ";"2017";216;725
" ";" ";"Finska"
" ";" ";" ";"2008";349;1106
" ";" ";" ";"2009";377;1576
" ";" ";" ";"2010";341;924
" ";" ";" ";"2011";304;736
" ";" ";" ";"2012";352;1067
" ";" ";" ";"2013";256;914
" ";" ";" ";"2014";261;1086
" ";" ";" ";"2015";251;937
" ";" ";" ";"2016";296;1005
" ";" ";" ";"2017";306;810
" ";" ";"Francija"
" ";" ";" ";"2008";1833;6234
" ";" ";" ";"2009";1582;6146
" ";" ";" ";"2010";1657;5730
" ";" ";" ";"2011";1680;5170
" ";" ";" ";"2012";1572;5228
" ";" ";" ";"2013";1547;5131
" ";" ";" ";"2014";1839;6267
" ";" ";" ";"2015";2170;7019
" ";" ";" ";"2016";2276;7688
" ";" ";" ";"2017";2629;8497
" ";" ";"Grèija"
" ";" ";" ";"2008";213;621
" ";" ";" ";"2009";175;559
" ";" ";" ";"2010";114;390
" ";" ";" ";"2011";261;1267
" ";" ";" ";"2012";240;690
" ";" ";" ";"2013";123;428
" ";" ";" ";"2014";135;359
" ";" ";" ";"2015";289;845
" ";" ";" ";"2016";228;860
" ";" ";" ";"2017";220;625
" ";" ";"Hrvaška"
" ";" ";" ";"2008";29750;93012
" ";" ";" ";"2009";22302;71048
" ";" ";" ";"2010";21596;66993
" ";" ";" ";"2011";22633;66282
" ";" ";" ";"2012";23316;66973
" ";" ";" ";"2013";23735;66127
" ";" ";" ";"2014";26083;69228
" ";" ";" ";"2015";29194;74191
" ";" ";" ";"2016";33095;83032
" ";" ";" ";"2017";39129;96526
" ";" ";"Irska"
" ";" ";" ";"2008";541;1810
" ";" ";" ";"2009";250;671
" ";" ";" ";"2010";389;1247
" ";" ";" ";"2011";376;1277
" ";" ";" ";"2012";230;686
" ";" ";" ";"2013";209;514
" ";" ";" ";"2014";475;1776
" ";" ";" ";"2015";277;1232
" ";" ";" ";"2016";275;947
" ";" ";" ";"2017";213;657
" ";" ";"Islandija"
" ";" ";" ";"2008";170;285
" ";" ";" ";"2009";8;29
" ";" ";" ";"2010";28;84
" ";" ";" ";"2011";102;335
" ";" ";" ";"2012";56;267
" ";" ";" ";"2013";34;45
" ";" ";" ";"2014";51;86
" ";" ";" ";"2015";92;226
" ";" ";" ";"2016";33;80
" ";" ";" ";"2017";59;117
" ";" ";"Italija"
" ";" ";" ";"2008";52886;192234
" ";" ";" ";"2009";54256;196002
" ";" ";" ";"2010";56277;196605
" ";" ";" ";"2011";58257;196798
" ";" ";" ";"2012";55465;182905
" ";" ";" ";"2013";51813;165493
" ";" ";" ";"2014";56219;170180
" ";" ";" ";"2015";61884;183833
" ";" ";" ";"2016";66253;199770
" ";" ";" ";"2017";67721;199212
" ";" ";"Latvija"
" ";" ";" ";"2008";257;676
" ";" ";" ";"2009";178;674
" ";" ";" ";"2010";106;567
" ";" ";" ";"2011";184;744
" ";" ";" ";"2012";93;562
" ";" ";" ";"2013";141;557
" ";" ";" ";"2014";170;651
